Pattern,Explanation,Example Sentence,Example Translation,Additional Notes,Pitfalls
動詞普通形＋つもりはない,表示「沒有打算～」「不打算～」，表明說話者否定性的意圖或計畫。<br><br>🧠 文法解析：<br><ul><li><div><b> 夏休み[なつやすみ]に</b></div><ul><li><div><b> 夏休み</b>：名詞，「暑假」。</div></li><li><div><b>に</b>：時間點助詞。</div></li></ul></li><li><div><b> 国[くに]へ</b></div><ul><li><div><b> 国[くに]</b>：名詞，「國家、故鄉」。</div></li><li><div><b>へ</b>：移動方向助詞。</div></li></ul></li><li><div><b> 帰[かえ]る</b></div><ul><li><div><b> 帰[かえ]る</b>：動詞，「回」。</div></li></ul></li><li><div><b> つもりは ない。</b></div><ul><li><div><b> つもり</b>：打算。</div></li><li><div><b>は</b>：提示。</div></li><li><div><b>ない</b>：沒有。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  帰[かえ]る」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 帰[かえ]る</td><td>回</td></tr><tr><td>否定</td><td> 帰[かえ]らない</td><td>不回</td></tr><tr><td>過去</td><td> 帰[かえ]った</td><td>回了</td></tr><tr><td>過去否定</td><td> 帰[かえ]らなかった</td><td>沒回過</td></tr><tr><td>て形</td><td> 帰[かえ]って</td><td>回（後）</td></tr><tr><td>意向形</td><td> 帰[かえ]ろう</td><td>回吧</td></tr></tbody></table>,夏休[なつやす]みに 国[くに]へ 帰[かえ]る つもりは ない。,暑假沒有打算回國。<br><br>🧾 單字速記：<br><ul><li><b> 夏休み[なつやすみ]</b>：暑假</li><li><b> 帰[かえ]る</b>：回</li><li><b> つもりは ない</b>：沒打算</li></ul>,「〜つもり」表示意圖、打算，加上「はない」則是否定形式，語氣明確。<br><br>📝 語感補充：<br><ul><li><b>強烈意圖的否定</b>：使用「つもりはない」表示說話者心中已經排除了某個選項，主觀意志強烈。</li><li><b>使用場景</b>：個人計畫的說明、堅決的表態、對未來規劃的分享。</li></ul>,❌ 混用：「〜予定はない」語氣偏客觀，非主觀意圖。
動詞普通形＋つもりはない,表示「不打算做～」，可搭配傳聞表現（〜そうです）。<br><br>🧠 文法解析：<br><ul><li><div><b> 鈴木[すずき]さんは</b></div><ul><li><div><b> 鈴木[すずき]さん</b>：人名。</div></li></ul></li><li><div><b> 結婚[けっこん]する</b></div><ul><li><div><b> 結婚[けっこん]する</b>：結婚。</div></li></ul></li><li><div><b> つもりは ない そうです。</b></div><ul><li><div><b> つもりは ない</b>：沒打算。</div></li><li><div><b> そうです</b>：傳聞，聽說。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  結婚[けっこん]する」為例 → <b>サ變動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 結婚[けっこん]する</td><td>結婚</td></tr><tr><td>否定</td><td> 結婚[けっこん]しない</td><td>不結婚</td></tr><tr><td>過去</td><td> 結婚[けっこん]した</td><td>結婚了</td></tr><tr><td>過去否定</td><td> 結婚[けっこん]しなかった</td><td>沒結婚過</td></tr><tr><td>て形</td><td> 結婚[けっこん]して</td><td>結婚（後）</td></tr><tr><td>意向形</td><td> 結婚[けっこん]しよう</td><td>結婚吧</td></tr></tbody></table>,鈴木[すずき]さんは 結婚[けっこん]する つもりは ない そうです。,聽說鈴木小姐沒有打算結婚。<br><br>🧾 單字速記：<br><ul><li><b> 結婚[けっこん]</b>：結婚</li><li><b> そうです</b>：聽說</li></ul>,與「〜そうです」搭配可轉述他人意圖。<br><br>📝 語感補充：<br><ul><li><b>傳聞中的意圖</b>：用來轉述第三者的主觀計畫或想法。</li><li><b>使用場景</b>：閒聊他人近況、傳播消息、非正式的背景調查。</li></ul>,❌ 用法錯：「つもりがない」語法正確但較少用，標準形為「つもりはない」。
動詞普通形＋つもりはありません（敬體）,表示「不打算～」，用於禮貌場合。<br><br>🧠 文法解析：<br><ul><li><div><b> 新[あたら]しい 車[くるま]を</b></div><ul><li><div><b> 新[あたら]しい</b>：新的。</div></li><li><div><b> 車[くるま]</b>：車。</div></li></ul></li><li><div><b> 買[か]う</b></div><ul><li><div><b> 買[か]う</b>：動詞，「買」。</div></li></ul></li><li><div><b> つもりは ありません。</b></div><ul><li><div><b> つもり</b>：打算。</div></li><li><div><b>は ありません</b>：沒有（敬體）。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  買[か]う」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 買[か]う</td><td>買</td></tr><tr><td>否定</td><td> 買[か]わない</td><td>不買</td></tr><tr><td>過去</td><td> 買[か]った</td><td>買了</td></tr><tr><td>過去否定</td><td> 買[か]わなかった</td><td>沒買過</td></tr><tr><td>て形</td><td> 買[か]って</td><td>買（後）</td></tr><tr><td>意向形</td><td> 買[か]おう</td><td>買吧</td></tr></tbody></table>,新[あたら]しい 車[くるま]を 買[か]う つもりは ありません。,不打算買新車。<br><br>🧾 單字速記：<br><ul><li><b> 新[あたら]しい</b>：新的</li><li><b> 車[くるま]</b>：車</li><li><b> 買[か]う</b>：買</li></ul>,敬體「〜はありません」語氣柔和、正式。<br><br>📝 語感補充：<br><ul><li><b>禮貌地拒絕或說明</b>：在商務或對長輩的談話中，用此型態可以溫和地傳達出「目前沒有這個規劃」的訊息。</li><li><b>使用場景</b>：購屋、購車洽詢的拒絕、禮貌地回覆邀請或推銷。</li></ul>,❌ 語氣錯：「〜ません」否定動作，不等於「不打算」。
動詞普通形＋つもりはない,表示「沒有打算～」，用於明確否定個人計畫。<br><br>🧠 文法解析：<br><ul><li><div><b> 僕[ぼく]は</b></div><ul><li><div><b> 僕[ぼく]</b>：我（男性）。</div></li></ul></li><li><div><b> 父[ちち]の 会社[かいしゃ]に</b></div><ul><li><div><b> 会社[かいしゃ]</b>：公司。</div></li><li><div><b>に</b>：進入的對象助詞。</div></li></ul></li><li><div><b> 入[はい]る</b></div><ul><li><div><b> 入[はい]る</b>：進入。</div></li></ul></li><li><div><b> つもりは ない。</b></div><ul><li><div><b> つもりは ない</b>：沒打算。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  入[はい]る」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 入[はい]る</td><td>進入</td></tr><tr><td>否定</td><td> 入[はい]らない</td><td>不進入</td></tr><tr><td>過去</td><td> 入[はい]った</td><td>進入了</td></tr><tr><td>過去否定</td><td> 入[はい]らなかった</td><td>沒進入過</td></tr><tr><td>て形</td><td> 入[はい]って</td><td>進入（後）</td></tr><tr><td>意向形</td><td> 入[はい]ろう</td><td>進入吧</td></tr></tbody></table>,僕[ぼく]は 父[ちち]の 会社[かいしゃ]に 入[はい]る つもりは ない。,我不打算進父親的公司。<br><br>🧾 單字速記：<br><ul><li><b> 僕[ぼく]</b>：我</li><li><b> 会社[かいしゃ]</b>：公司</li><li><b> 入[はい]る</b>：進</li></ul>,可搭配「〜のに」「〜けど」作對比語氣。<br><br>📝 語感補充：<br><ul><li><b>個人意向的堅持</b>：展現出說話者對於自我人生的選擇權與決定權。</li><li><b>使用場景</b>：家庭談話、職涯諮詢、對他人期待的回應。</li></ul>,❌ 用法錯：「入るつもりない」需加「は」才自然。
動詞普通形＋つもりはなかった（過去形）,表示「原本沒打算～但結果～」，語氣轉折。<br><br>🧠 文法解析：<br><ul><li><div><b> 買[か]う つもりは なかったんですが、</b></div><ul><li><div><b> 買[か]う</b>：買。</div></li><li><div><b> つもり</b>：打算。</div></li><li><div><b> なかった</b>：沒有（過去式）。</div></li><li><div><b>んですが</b>：表示委婉的背景說明或轉折。</div></li></ul></li><li><div><b> 安[やす]かったから</b></div><ul><li><div><b> 安[やす]い</b>：便宜。</div></li><li><div><b>から</b>：因為。</div></li></ul></li><li><div><b> つい 買[か]って しまいました。</b></div><ul><li><div><b> つい</b>：不知不覺、不小心。</div></li><li><div><b> 買[か]って しまう</b>：買了（帶有懊惱或不可控制感）。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  買[か]う」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 買[か]う</td><td>買</td></tr><tr><td>否定</td><td> 買[か]わない</td><td>不買</td></tr><tr><td>過去</td><td> 買[か]った</td><td>買了</td></tr><tr><td>過去否定</td><td> 買[か]わなかった</td><td>沒買過</td></tr><tr><td><b>て形</b></td><td><b> 買[か]って</b></td><td><b>買（後） (本句使用 買ってしまいました)</b></td></tr><tr><td>意向形</td><td> 買[か]おう</td><td>買吧</td></tr></tbody></table>,買[か]う つもりは なかったんですが、 安[やす]かったから つい 買[か]って しまいました。,本來不打算買，但因為便宜就不小心買了。<br><br>🧾 單字速記：<br><ul><li><b> 安[やす]い</b>：便宜</li><li><b> つい</b>：不知不覺</li><li><b> 〜てしまう</b>：不小心...了</li></ul>,「〜つもりはなかったが」常用於反省、意外行動的說明。<br><br>📝 語感補充：<br><ul><li><b>意外性的行為說明</b>：用於描述原本的想法與實際行動之間的落差，帶有一點自我解釋或輕微反省的意味。</li><li><b>使用場景</b>：購物經驗分享、行為的解釋、衝動行事後的對話。</li></ul>,❌ 語氣錯：「〜つもりなかった」口語可省略「は」，但書面要保留。
動詞意向形＋としない,表示「完全沒有～的意思／不打算～」，用於描述他人不想採取某行動的態度。<br><br>🧠 文法解析：<br><ul><li><div><b> うちの 娘[むすめ]は</b></div><ul><li><div><b> 娘[むすめ]</b>：名詞，「女兒」。</div></li></ul></li><li><div><b> しかられても、</b></div><ul><li><div><b> しかる</b>：動詞，「責罵」。</div></li><li><div><b>受身形</b>：しかられる。</div></li><li><div><b>〜ても</b>：即使。</div></li></ul></li><li><div><b> 決[けっ]して</b></div><ul><li><div><b> 決[けっ]して</b>：副詞，「絕對（不）」。</div></li></ul></li><li><div><b> あやまろうと しない。</b></div><ul><li><div><b> あやまろう</b>：あやまる的意向形。</div></li><li><div><b>と しない</b>：不打算、不想要。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  あやまる」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> あやまる</td><td>道歉</td></tr><tr><td>否定</td><td> あやまらない</td><td>不道歉</td></tr><tr><td>過去</td><td> あやまった</td><td>道歉了</td></tr><tr><td>過去否定</td><td> あやまらなかった</td><td>沒道歉過</td></tr><tr><td>て形</td><td> あやまって</td><td>道歉（後）</td></tr><tr><td><b>意向形</b></td><td><b> あやまろう</b></td><td><b>道歉吧</b></td></tr></table>,うちの 娘[むすめ]は しかられても、 決[けっ]して あやまろうと しない。,我家的女兒就算被罵，也絕對不想道歉。<br><br>🧾 單字速記：<br><ul><li><b> 娘[むすめ]</b>：女兒</li><li><b> しかられる</b>：被罵</li><li><b> 決[けっ]して</b>：絕對（不）</li><li><b> あやまる</b>：道歉</li></ul>,「〜（よ）うとしない」表示行為的意圖完全不存在，含不情願語氣。<br><br>📝 語感補充：<br><ul><li><b>頑固與排斥</b>：這個句型側重於「對方主觀意志上的抗拒」，強調那種「不論別人怎麼說，當事人就是不動如山」的頑固感。</li><li><b>使用場景</b>：描述孩子的不聽話、他人的固執、或是觀察到某人刻意迴避某行為。</li></ul>,❌ 混用：「〜ようにしない」表示「不努力去做」，語義不同。
動詞意向形＋としない,表示「不願意／不想去～」，常帶有責備、無奈的語氣。<br><br>🧠 文法解析：<br><ul><li><div><b> 父[ちち]は 病気[びょうき]でも、</b></div><ul><li><div><b> 病気[びょうき]</b>：生病。</div></li></ul></li><li><div><b> 醫者[いしゃ]に 行[い]こうと しない。</b></div><ul><li><div><b> 醫者[いしゃ]</b>：醫生。</div></li><li><div><b> 行[い]こう</b>：いく的意向形。</div></li><li><div><b>と しない</b>：不想去。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  行[い]く」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 行[い]く</td><td>去</td></tr><tr><td>否定</td><td> 行[い]かない</td><td>不去</td></tr><tr><td>過去</td><td> 行[い]った</td><td>去了</td></tr><tr><td>過去否定</td><td> 行[い]かなかった</td><td>沒去過</td></tr><tr><td>て形</td><td> 行[い]って</td><td>去（後）</td></tr><tr><td><b>意向形</b></td><td><b> 行[い]こう</b></td><td><b>去吧</b></td></tr></table>,父[ちち]は 病気[びょうき]でも、 医者[いしゃ]に 行[い]こうと しない。,父親就算生病，也不想去看醫生。<br><br>🧾 單字速記：<br><ul><li><b> 醫者[いしゃ]</b>：醫生</li><li><b> 行[い]く</b>：去</li></ul>,常用於第三人稱，表示說話者觀察到的「不作為」。<br><br>📝 語感補充：<br><ul><li><b>旁觀者的無奈</b>：說話者看到對方應該做某事（如生病看醫生）卻完全不為所動，因此句子中常帶有一種「拿他沒辦法」的語氣。</li><li><b>使用場景</b>：家長里短的抱怨、健康諮詢、對他人生活習慣的觀察。</li></ul>,❌ 用錯人稱：「〜ようとしない」不適用於自己（會變得不自然）。
動詞意向形＋としない（敬體：〜としません）,敬語形式，表示「不想～」「沒有打算～」。<br><br>🧠 文法解析：<br><ul><li><div><b> 課長[かちょう]は</b></div><ul><li><div><b> 課長[かちょう]</b>：職位名。</div></li></ul></li><li><div><b> それに ついて</b></div><ul><li><div><b> それ</b>：那。</div></li><li><div><b>について</b>：關於。</div></li></ul></li><li><div><b> 何[なに]も 話[はな]そうと しません。</b></div><ul><li><div><b> 何[なに]も</b>：什麼都（不）。</div></li><li><div><b> 話[はな]そう</b>：はなす的意向形。</div></li><li><div><b>と しません</b>：不打算（敬體）。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  話[はな]す」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 話[はな]す</td><td>說</td></tr><tr><td>否定</td><td> 話[はな]さない</td><td>不說</td></tr><tr><td>過去</td><td> 話[はな]した</td><td>說了</td></tr><tr><td>過去否定</td><td> 話[はな]さなかった</td><td>沒說過</td></tr><tr><td>て形</td><td> 話[はな]して</td><td>說（後）</td></tr><tr><td><b>意向形</b></td><td><b> 話[はな]おう</b></td><td><b>說吧</b></td></tr></table>,課長[かちょう]は それに ついて 何[なに]も 話[はな]そうと しません。,課長對那件事什麼都不想說。<br><br>🧾 單字速記：<br><ul><li><b> 課長[かちょう]</b>：課長</li><li><b> 話[はな]す</b>：說</li></ul>,「〜としません」為敬體形式，用於職場、上司語境。<br><br>📝 語感補充：<br><ul><li><b>守口如瓶的拒絕</b>：在職場中，當上位者刻意保持沈默或迴避特定問題時，使用此敬語形式能客觀地描述對方的態度。</li><li><b>使用場景</b>：職場匯報、對外部人員的說明、觀察上司反應。</li></ul>,❌ 搭配錯：「話そうしません」誤省略助詞「と」。
動詞意向形＋としない,表示「儘管～也不～」，可搭配「〜ても」「〜のに」。<br><br>🧠 文法解析：<br><ul><li><div><b> 息子[むすこ]は</b></div><ul><li><div><b> 息子[むすこ]</b>：兒子。</div></li></ul></li><li><div><b> しかられても、</b></div><ul><li><div><b> しかられる</b>：被罵。</div></li></ul></li><li><div><b> 決[けっ]して あやまろうと しなくて、</b></div><ul><li><div><b> しなくて</b>：しないの中止形。</div></li></ul></li><li><div><b> 困[こま]っています。</b></div><ul><li><div><b> 困[こま]る</b>：困擾。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  あやまる」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> あやまる</td><td>道歉</td></tr><tr><td>否定</td><td> あやまらない</td><td>不道歉</td></tr><tr><td>過去</td><td> あやまった</td><td>道歉了</td></tr><tr><td>過去否定</td><td> あやまらなかった</td><td>沒道歉過</td></tr><tr><td>て形</td><td> あやまって</td><td>道歉（後）</td></tr><tr><td><b>意向形</b></td><td><b> あやまろう</b></td><td><b>道歉吧</b></td></tr></table>,息子[むすこ]は しかられても、 決[けっ]して あやまろうと しなくて、 困[こま]っています。,我兒子就算被罵也絕對不道歉，真是傷腦筋。<br><br>🧾 單字速記：<br><ul><li><b> 息子[むすこ]</b>：兒子</li><li><b> 困[こま]る</b>：困擾</li></ul>,常與「〜ても」「決して」「なかなか」等副詞連用，語氣強。<br><br>📝 語感補充：<br><ul><li><b>持續性的對抗狀態</b>：描述一種長期的、讓人困擾的頑固行為。</li><li><b>使用場景</b>：家庭教育問題的討論、向朋友傾訴煩惱。</li></ul>,❌ 語尾錯：「〜しないでいる」表暫時狀態，不等於拒絕行動。
動詞意向形＋としない,表示「即使被勸說也不願意～」。<br><br>🧠 文法解析：<br><ul><li><div><b> 鈴木[すずき]さんは</b></div><ul><li><div><b> 鈴木[すずき]さん</b>：人名。</div></li></ul></li><li><div><b> 「たばこは 体[からだ]に 悪[わる]いから」と</b></div><ul><li><div><b> たばこ</b>：香菸。</div></li><li><div><b> 体[からだ]</b>：身體。</div></li><li><div><b> 悪[わる]い</b>：壞。</div></li><li><div><b>と</b>：引用助詞。</div></li></ul></li><li><div><b> 言[い]われても、</b></div><ul><li><div><b> 言[い]う</b>：說。</div></li><li><div><b> 言[い]われる</b>：被說。</div></li></ul></li><li><div><b> やめようと しません。</b></div><ul><li><div><b> やめよう</b>：やめる的意向形。</div></li><li><div><b>と しません</b>：不打算。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  やめる」為例 → <b>下一段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> やめる</td><td>停止、戒</td></tr><tr><td>否定</td><td> やめない</td><td>不停止</td></tr><tr><td>過去</td><td> やめた</td><td>停止了</td></tr><tr><td>過去否定</td><td> やめなかった</td><td>沒過</td></tr><tr><td>て形</td><td> やめて</td><td>停止（後）</td></tr><tr><td><b>意向形</b></td><td><b> やめよう</b></td><td><b>停止吧</b></td></tr></table>,鈴木[すずき]さんは 「たばこは 体[からだ]に 悪[わる]いから」と 言[い]われても、 やめようと しません。,就算鈴木先生被說「抽菸對身體不好」，他還是不想戒菸。<br><br>🧾 單字速記：<br><ul><li><b> たばこ</b>：香菸</li><li><b> やめる</b>：戒、停止</li></ul>,可與「〜と言われても」「〜のに」搭配，表持續抗拒。<br><br>📝 語感補充：<br><ul><li><b>忽視建議的執拗</b>：強調即便有外界的正當理由（健康），當事人仍舊堅持其原有的負面行為。</li><li><b>使用場景</b>：談論不良習慣、勸說失敗的案例、對某人性格的評論。</li></ul>,❌ 語氣錯：「やめない」僅表事實，少了「不願意」語氣。
